"","name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","grade","playlists","length_name","english_name","name_language","name_style","name_scene","name_instruments","name_feeling","name_praise","name_location","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些","length_intro","intro_歌单","intro_音乐","intro_歌曲","intro_喜欢","intro_封面","intro_专辑","intro_歌手","intro_风格","intro_quot","intro_amp","intro_更新","intro_旋律","intro_收录","intro_节奏","intro_好听","intro_电音","欧美","流行","华语","电子","ACG","日语","古风","轻音乐","经典","器乐","治愈","兴奋","游戏","独立","另类","影视原声","民族","怀旧","粤语","摇滚","number_songs","number_hot_singers","talent","verification","musician","无","达人","认证","音乐人","cluster"
"1",".孤独患者的深海【一】","-单衣试酒-",1443052800,"<b>介绍：</b>本歌单第二辑已整理完成。喜欢这种风格的朋友们也可以去【纯音|孤独患者的深海二】试听一下~熟悉的味道，同样的选择。 <br><br>请送我一朵深海玫瑰，从此便沉入寂静的岁月。 请吻我以清晨的露水，扬起手挥别昨日再梦回。 <br>今天看到建安文学的时候忽然是如此思索，正因为风衰俗怨，战乱流离，建安的文人格外悲叹生命的短促，离愁别绪都显得气度小了，和更广阔的生死、战争、帝国相比，临高峰而望，旌旗千里，古有楚臣去境，汉妾辞宫，或负戈外戍，杀气雄边。和苍茫的天地时空一比，人也就不知不觉惶恐了起来，仿佛那吹过白骨朔蓬金戈铁马的风又裹着着笛音风沙吹到手边，便忽然明白了千年前的人如是说到，人生天壤间，忽如飞鸟栖孤枝。 <br>悲凉而慷慨，惜已成了书上粗糙的记载，都老了，抹上了风沙的锈迹。 <br><br>然而孤独竟如此不可避免了么。今日必有一渺小谢如我渐行渐远，他日原地也必迎来一相似的孩童，生命于是轮换不息，一切都将流传，不会死去的只有时间和文字。踽踽于这人世，又怎么会惧怕生死疲劳。<br>",478689,11875,193,202,"[""孤独"",""轻音乐"",""钢琴""]",865,9,22,11,"否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",454,"是","否","否","是","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否",51,1,"否","否","否","是","否","否","否",3
"2","（经典）欧美大咖","时光回音",1452556800,"<b>介绍：</b>【想听欧美歌曲？一单就够了！】欧美歌曲大亨，欧美大牌金曲全收录，本人多年听欧美歌曲精选，收藏有各种形势的曲风，请您细细品尝！（本单持续更新）<br>本单为欧美歌的总单，各种曲风均有收藏，具体曲风细分已经完成，分类详见点头像进入欧美区的分类单，感谢大家长久以来的鼎力支持！~\(≧▽≦)/~ 封面：瑞典小仙女frida（原图动态有）<br>",2482873,51231,477,646,"[""欧美"",""流行"",""怀旧""]",2499,9,123,8,"否","否","是","否","否","是","否","是","否","否","是","否","否","否","否","否","是","否","否","否","否","否","否",179,"否","否","是","否","是","否","否","否","否","否","是","否","是","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否",662,173,"否","否","否","是","否","否","否",3
"3","[ Pop系列 ]","某科学超电磁砲",1448928000,"<b>介绍：</b>通过串烧的方式巧妙的将每年度热门POP歌曲联合在一起。强大的混音效果讲曲风各异的流行歌曲完美地融合入一曲之中，让人从开头震撼到结尾。<br>",486190,13934,239,85,"[""欧美"",""流行"",""榜单""]",635,7,13,9,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",80,"否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",70,0,"否","否","否","是","否","否","否",3
"4","[二次元女声]精致的搭配，绘构了美好","Areal肥阳",1490918400,"<b>介绍：</b>一首歌，像一张画。旋律是背景，歌声是其中的人物，歌词是神态。将它们精心地搭配在一起，就如同一张精致的图画一般，绘构了那令人难忘的美好。Pixiv ID: 62179525<br>",847621,22985,105,277,"[""日语"",""流行"",""ACG""]",32967,9,76,18,"否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否",99,"否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","是","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",100,1,"是","否","否","否","是","否","否",3
"5","[剑三]那些年感动你我的剑网三剧情歌","luluuuuuu",1429488000,"<b>介绍：</b>慕尔如星愿守心一人，从天光乍破到暮雪白头<br>",566414,28084,323,213,"[""华语"",""古风"",""游戏""]",88,8,32,18,"否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是",34,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否",39,0,"否","否","否","是","否","否","否",3
"6","［年代感］欧美原声吉他弹唱精选100首","坚果____",1499385600,"<b>介绍：</b>此歌单音乐收录的标准是：原声吉他伴奏，指弹，Riff也很棒、唱腔优美、音乐整体情绪感染力强、有复古感年代感。所以我尽可能的让歌单里每首音乐都有价值细细品味。<br>",3248928,53726,487,205,"[""摇滚"",""吉他"",""民谣""]",1006,8,49,19,"否","否","否","否","是","是","是","是","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否",92,"是","是","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是",100,2,"是","否","否","否","是","否","否",3
"7","［日系］青春的声音，踏着活力的鼓点！","wow-麻美-summit",1481932800,"<b>介绍：</b>青春？活力！<br>在冷冬天里多多活动一下吧！让那颗心不再冰封起来，充满活力，直立向前！<br><br>不想听节奏太强,影响神经的电音？不想听节奏太慢,死气沉沉的抒情歌？想暖和但不想运动？想做作业（or工作）但却力不从心？<br>想要打起精神吗？<br>你需要一单青春活力派的歌曲！<br>那么，请遨游在青春活力中吧！<br>",361387,12687,90,112,"[""日语"",""ACG"",""快乐""]",11506,8,42,18,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",173,"否","否","是","否","否","否","否","否","否","否","否","否","否","是","否","是","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否",53,2,"是","否","否","否","是","否","否",3
"8","[日系雨篇]你从思念的淅沥作响中走来","Pop精灵",1493510400,"<b>介绍：</b>伫立雨中，雨丝和着轻风，万千柔情，滴落在脸颊，流入了心底，于是心中也淅淅沥沥下起一场悠悠的细雨。<br>心事纷飞，如雨瓢洒。分不清，那雨珠飞舞的美姿，是眼底的倒影，还是心中的幻景……<br>歌单结构与歌曲推荐:<br>1.雨空:纯音音乐一开始的雷鸣奏响歌单开章，让听者仿佛身临雨水来临前的情境，整个感官随着后面音乐舒缓节奏的调动又仿佛置身于一片雨雾之下；<br>3.rain stops,good bye:雨哗啦哗啦得下着，伴着只有钢琴伴奏的歌声，心境本趋平和却又被这纯美男声勾出历历动情往事搅地思绪开始感伤；<br>4.时雨:很爱这歌曲的钢琴前奏，听得想让人就这么肆意蔓延沉坠在这悲伤海洋直至无法呼吸；<br>9.雨降树の下で:第一次听到这首歌是它的中文翻唱→王心凌《蝴蝶》，没想到竟然还能邂逅到原版，旋律动听温暖，着实治愈人心；<br>11.雨のmusique:开头轻拨的吉他声一下抓人耳朵，随后温柔轻松的旋律让人沉醉其中；<br>15.End of Rain:编曲好评，旋律好评，男声好评，珍藏良曲。金星手势:完美～2333；<br>20.Raindrop:唯美的钢琴前奏搭配留声机效果引人入胜，歌词刻画了一个雨落音如琵琶声的夜晚，痴情人穿过小巷冒雨也要去见心爱之人的动人场景；<br>22.淚rain:唯美动人的旋律，搭配歌手哭腔唱法，令人心碎；<br>23.Lonely Rain:冰冷如雨的背景伴奏完美增添了全曲伤感气氛，伤心之人更爱听这治愈情歌来&quot;致郁&quot;吧；<br>29.最后の雨:幸田来未的这个翻唱版本实在太棒了，编曲重节奏鼓点加上水水充满情感的声线让这首歌变得更为动听；<br>45.恋音と雨空:传说中的开口跪2333，让初听的人忍不住单曲循环的大良曲；<br>48.雨の奇迹:作为本单第二首纯音intro起承上启下作用，曲子前半部分略沉重缓慢，象征大雨磅礴给人的闭塞感觉，后半部分曲调转轻松愉悦，象征雨势渐小给人的欣喜感；<br>49.想いはRain Rain:歌单在第二首intro前选曲风格略缓慢或感伤，这首开始到后面选曲风格偏轻松愉快，这首旋律如同雨势渐小给人的欣喜感；<br>60.After Rain:快节奏的轻摇滚用作全歌单的结尾，曲子轻快爽朗，代表着雨过天晴的愉悦和新的希望。<br>本歌单选择有关雨的良曲 收好歌单 待到雨天随歌单一起静静聆听 一个淅沥作响的雨中世界～<br>封Pid:http://www.pixiv.net/member.php?id=72950597<br>",788922,26887,170,153,"[""日语"",""流行"",""治愈""]",7979,9,36,18,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",1078,"是","是","是","否","否","否","是","是","是","否","否","是","否","是","否","否","否","是","否","否","否","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否",60,0,"否","否","否","是","否","否","否",3
"9","［融合爵士］七十年代巅峰爵士音乐大师精选","坚果____",1499731200,"<b>介绍：</b>融合爵士兴起于70年代，是爵士乐众多分支之一，而且也是最为花哨，风格更加鲜明的爵士乐曲风。<br>融合爵士一般指在爵士乐的基础上，融合了摇滚乐，Funk,世界音乐等成分。<br>只要有想法，有创新，任何音乐任何乐器都可以成为融合爵士音乐中的调料。<br>融合爵士给人的感觉是，既新鲜又流行，又不失爵士乐的色彩。<br>",438092,6170,87,39,"[""爵士"",""R&amp;B/Soul"",""世界音乐""]",1006,8,49,20,"否","否","否","否","否","否","是","否","否","否","否","是","否","是","否","否","否","否","否","否","否","否","否",169,"否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",89,0,"是","否","否","否","是","否","否",3
"10","[竖琴女王?丽莎?琳]","Anita58",1395273600,"<b>介绍：</b>丽莎?琳，被称为竖琴女王，是世界民族音乐类别里的翘首。<br>",674359,35669,460,208,"[""欧美"",""古典"",""器乐""]",7800,9,339,11,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",41,"否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否",18,0,"是","否","否","否","是","否","否",3
