"","name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","grade","playlists","length_name","english_name","name_language","name_style","name_scene","name_instruments","name_feeling","name_praise","name_location","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些","length_intro","intro_歌单","intro_音乐","intro_歌曲","intro_喜欢","intro_封面","intro_专辑","intro_歌手","intro_风格","intro_quot","intro_amp","intro_更新","intro_旋律","intro_收录","intro_节奏","intro_好听","intro_电音","欧美","流行","华语","电子","ACG","日语","古风","轻音乐","经典","器乐","治愈","兴奋","游戏","独立","另类","影视原声","民族","怀旧","粤语","摇滚","number_songs","number_hot_singers","talent","verification","musician","无","达人","认证","音乐人","log_play_count","cluster"
"1","“对不起，我是活在二次元的女孩……”","我眼睛会发光i",1455494400,"<b>介绍：</b>『ACG女毒精选』世上最远的距离，无非是我对着屏幕上的你伸出手，你却强忍着哭泣说：“对不起，我是活在二次元的女孩……”<br>在每个喜欢着二次元的人心中，都有着那份属于自己来自二次元的感动吧<br>",5244,145,13,7,"[""日语"",""ACG"",""治愈""]",10674,9,34,18,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",109,"否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否",90,5,"是","否","否","否","是","否","否",8.56483984488359,3
"2","「街角麻婆豆 グレイテスト ヒッツ」","开口言是非秋风吹唇寒",1490486400,"<b>介绍：</b>街角麻婆豆 最终作！<br>精选集<br>「街角麻婆豆 グレイテスト ヒッツ」！<br>收录了社团 街角麻婆豆 2008年-2015年 精选的60首乐曲的珠玉之Best集<br>古典/各类交响乐/民族/近代流行/现代流行/音乐剧……<br>学院派出身的具有相当音乐素养的专业人士们，究竟在这七年创作出了怎样的东方同人音乐作品<br>或许只有真的细心去欣赏，才能得到属于自己的答案<br>无论是否是音乐相关方面的专业人士<br>街角麻婆豆的作品的魅力都丝毫不会因此而减少<br>彼岸花に愛を込めて、Silence、石焼芋（室内楽版）、今昔幻想郷（室内楽版）、今昔幻想郷（フルート版）、空焦がるる輪舞曲暂缺。<br>",805,99,22,4,"[""轻音乐"",""古典"",""ACG""]",149,9,37,18,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",316,"否","是","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否",54,0,"否","否","否","是","否","否","否",6.69084227741856,3
"3","「明朝大學士之死」","中極殿大學士",1485734400,"<b>介绍：</b>始於嘉靖二十六年，死於心碎 從「殺人事件」到「殺人事件」<br>",17983,374,17,55,"[""日语"",""夜晚"",""兴奋""]",13260,10,18,9,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",42,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否",22,2,"否","否","否","是","否","否","否",9.7971821461652,3
"4","「男兒到死心如鐵」","中極殿大學士",1425945600,"<b>介绍：</b>問渠儂 神州畢竟 幾番離合 汗血鹽車無人顧 千里空收駿骨 正目斷關河路絕 我最憐君中宵舞 道 男兒到死心如鐵 看試手 補天裂<br>",8527,107,2,14,"[""欧美"",""电子"",""兴奋""]",13260,10,18,9,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",76,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否",18,5,"否","否","否","是","否","否","否",9.05099287874205,3
"5","「清新小调」从你歌声里我听到了故事","JonathanHyden",1453852800,"<b>介绍：</b>聚散离合是人生的规律，不必在意，何须伤悲。因为痛，我们选择隐藏；因为还有梦，我们选择坚强。想要的，和能得到的，总是相距甚远。有些人注定是拿来错过的。而有些人，连错过都算不上，只是路过。所有的忧伤都是过往，当时间慢慢沉淀，你会发现自己的快乐比想象的多得多。<br>",13976,522,21,13,"[""欧美"",""清新"",""放松""]",23200,9,41,17,"否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",141,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",20,0,"是","否","否","否","是","否","否",9.54509685181389,3
"6","「日系、治愈」アサヒ(Asahi)编曲精选","8酱TvT",1495843200,"<b>介绍：</b>本单选收了アサヒ(Asahi)的作品，Vocal绝大部分由emaru担当。<br>曲风相当治(古)愈(怪)温暖人心~<br>风格：J-Pop、其他电子<br>·<br>アサヒ擅长取材于现实的声音，用独特的演算法作曲和音频讯号处理营造出画面感极强的歌曲。<br>同时是个小说家，很讲究歌词音韵。<br>每首歌，相当于讲述了一个故事。<br>出没于Halozy、DiGiTAL WiNG这两个东方同音社团。<br>有自己一个名为macaroom的团。<br>作词作曲担当。<br><br>emaru是macaroom团的主唱，斯洛维尼亚出身。<br>有着软萌细腻的声线，很适合搭配アサヒ清新治(致)愈(郁)的曲子。<br>·<br>歌如何，听几首就知道了。个人早些时候听emaru的歌就感觉很宁静，但是却没怎么关注编曲的人。这几天找资料收集emaru的歌发现编曲作词绝大部分都是アサヒ，很意外也很惊喜。这也就意味着曲风比较统一，不会有太大变动。<br>于是就变成收集アサヒ所作的歌了233<br><br>适用时期：心情焦虑、低落时<br>播放模式：顺序随机皆可<br>PS：睡眠听奇效，放松心情<br>封面id：15558347（图已删除）<br>",914,31,3,8,"[""日语"",""电子"",""治愈""]",1330,9,47,21,"是","否","否","否","否","是","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否",532,"否","否","是","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","是","否","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否",33,0,"否","否","否","是","否","否","否",6.81783057145415,3
"7","「日系/治愈」愿你被这世界温柔以待","千雪酱-喵喵喵makimakima希希希-",1463011200,"<b>介绍：</b>做一个温柔的人吧，温柔地看待这个世界。如果曾被温柔的人那样对待，深深了解那种被温柔相待的感觉，那请把这份心情传达出去吧。但愿你的眼睛里就不再含有泪水；但愿你的眼睛里只看得到笑容。愿你被这世界温柔以待。<br>",225,21,1,0,"[""日语"",""治愈"",""ACG""]",483,8,149,17,"否","否","否","否","否","是","否","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否",114,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否",205,8,"否","否","否","是","否","否","否",5.41610040220442,3
"8","「悠然小天背景音乐」MAX修订版(看介绍)","THXuan",1476316800,"<b>介绍：</b>持续更新ing（详情看评论，不懂再在评论（外加一句，真的真的看评论!!））伴奏已经在我的【悠然小天背景音乐】电台上线啦，大家可以去收听哦，还有普通disco洛天依版的伴奏，林海的欢沁哦(′-ω-`)【如何到达我的电台：点击我的头像，进去后就能看到我的「悠然小天背景音乐」电台啦】<br>电台链接：分享主播电台#「悠然小天背景音乐」#:?http://music.163.com/radio?id=349657419&amp;userid=345660222?(来自@网易云音乐)<br>歌单里还包含一些天哥直播用过的<br>",12321,308,18,96,"[""游戏"",""放松"",""流行""]",70,7,6,21,"是","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",272,"是","是","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否",91,19,"否","否","否","是","否","否","否",9.41906040262467,3
"9","『电音』卢西奥级的极品电音 (?&gt;ω&lt;*?)","织云阳雪躔",1471824000,"<b>介绍：</b>在下收藏的十分不错的电音，内含各种曲风，不定期更新，欢迎收听~\(≧▽≦)/~<br><br>（前四首是为了贴题，所有的更新都会从第五首开始排序，前四首就永远不动了，前四首当然也很好听。其他曲排序的顺序不是按照好听的顺序来的，而是时间顺序～)<br>",1258,14,1,8,"[""电子"",""兴奋""]",27,7,306,28,"是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",135,"否","否","否","否","否","否","否","否","否","否","是","否","否","否","是","是","否","否","否","是","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否",190,21,"否","否","否","是","否","否","否",7.13727843726039,3
"10","『东方project·氛围纯音』禊川幽鸣","藤原居",1458432000,"<b>介绍：</b>☆东方project系列空灵纯音精选☆<br><br>◎封面pixiv id:50367860<br><br>禊川（みそぎがわ）:用来举行净身、除秽等神事的河川。<br>以其为庄重之地，一切灾厄与污秽都将被濯洗，沉降，长逝川底。<br><br>希望禊川能带走你终日繁杂的思绪。<br><br>标题灵感来源：东方文花帖DS | 键山雏符卡：厄野「禊川の堆積」<br><br>1~12：兴奋与悸动参半，抬眼就是开阔到令人颤栗的天空。头顶阴翳吐露着雾气，川流呈现骇人的煞白色，但如此压抑阴冷的场景，竟让我感觉飘然如仙。<br>一种豁然释放、身体轻如绸缎的升华感，携带滔浪般的幻觉袭卷而来。<br>13~28：曾经想象过幽静最极致的表达。世外桃源，人间楼宇的最高层，最接近天穹的地带，以禊川之景可以完美套用。<br>只是这静谧中，有什么气质怪异的事物在暗处蛰伏着。随料峭之意的警醒，一股寒意渐渐爬上脊骨。<br>29~42：水流声在幽寂中被放大，伴随叶群微鸣与聒噪的蚊虫声摩挲相汇而窸窣一片。和谐的交汇中，唯独一串不合时宜的脚步声显得刺耳无比。<br>我尽力放轻步伐，但这无法消除的噪音只让我感到焦灼与嫌恶。<br>43~56：在沿畔行走了一段时间，我开始百无聊赖地捕捉到脑内回响的画外音。<br>——古乐器的弹拨意外适合描画这片秘境。<br>也许在遥远的古代，已经有修禊祭典在此留下印记，它们能恰如其分地烘托住乐器古朴悠长的音色。<br>57~65：远远看见有一些人偶模样的东西沿水流飘来。它们的绒毛有些破碎，但又由于水汽的浸润粘合在一起，头上扎着精致的缎带。细微的水花沿游动轨迹溅出，音色清冽澄澈。<br>跟着它们走，应该没错了。<br>66~77：果不其然，到这段距离时，它们像是被水底的什么东西吸附一般，身体渐渐深入水中，直到水流没过鲜亮的衣饰。<br>恐惧与怀疑一起漫上心头，这驱使我扒开草丛往水中跳去。<br>——人偶早已消失不见。而在岸上毫无察觉的，双脚下污浊的黑色物质不断地沉积、回旋，川底被漆黑浸染得像一个无底深渊，似乎下一刻就要将我吸入漩涡中。<br>一刹那，我只感到眼前天旋地转，一切情绪冲击着大脑。透过水光，仿佛看到自己狰狞扭曲的五官。<br>78~84：一股酸涩的液体涌上喉咙，身体反条件抽搐着呛出一口川水——自己已经回到了岸上。只记得晕眩前，恍惚中透过蔚蓝色看见一个身影。而现在身心说不出的舒畅，就像五脏六腑都被洗涤过一般。<br>这双历经污浊之目，透过被雾气侵蚀的景物，映照出一片死寂。<br>我扒开岸边稀疏的荆棘，再也没有回头。<br>",2056,74,20,8,"[""ACG"",""轻音乐"",""放松""]",900,10,47,20,"是","否","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否",1090,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否",84,3,"否","否","否","是","否","否","否",7.62851762657506,3
