"","name","author","create_time","introduction","play_count","collect_count","share_count","comment_count","topics","fans","grade","playlists","length_name","english_name","name_language","name_style","name_scene","name_instruments","name_feeling","name_praise","name_location","name_古风","name_BGM","name_经典","name_爵士","name_世界","name_精选","name_节奏","name_女声","name_欧美","name_粤语","name_民谣","name_东方","name_amp","name_中国","name_那些","length_intro","intro_歌单","intro_音乐","intro_歌曲","intro_喜欢","intro_封面","intro_专辑","intro_歌手","intro_风格","intro_quot","intro_amp","intro_更新","intro_旋律","intro_收录","intro_节奏","intro_好听","intro_电音","欧美","流行","华语","电子","ACG","日语","古风","轻音乐","经典","器乐","治愈","兴奋","游戏","独立","另类","影视原声","民族","怀旧","粤语","摇滚","number_songs","number_hot_singers","talent","verification","musician","无","达人","认证","音乐人","log_play_count","cluster"
"1","- Dance with me.","MONSTER-CAT6",1393545600,"<b>介绍：</b>欧美流行舞曲。<br>",248047,2134,39,52,"[""欧美"",""驾车"",""舞曲""]",5974,9,22,16,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",21,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",496,30,"否","否","否","是","否","否","否",12.4213735233202,1
"2","- Russian","LavidaLoca_z",1404691200,"<b>介绍：</b>边听边学俄语.<br>",69769,1464,13,15,"[""小语种"",""午休"",""流行""]",17163,8,128,9,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",21,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",50,2,"是","否","否","否","是","否","否",11.1529450640228,1
"3","-夜-車-歌-","玛丽锁链是耶稣",1463529600,"<b>介绍：</b>今天我感到非常烦闷<br>我想念你<br>我想起夜幕降临的时候<br>和你踏着星光走去<br>想起了灯光照着树叶的时候<br>踏着婆娑的灯影走去<br>想起了欲语又塞的时候<br>和你在一起<br><br>你是我的战友<br>因此我想念你<br>当我跨过沉沦的一切<br>向着永恒开战的时候<br>你是我的军旗<br><br>- -王小波《爱你就像爱生命》<br><br>此单适合挤地铁时听，适合看车窗外呼啸而过的夜景，适合独处，适合隔绝世界和人群，适合享受孤独并沉湎于此。<br><br>歌单风格：<br>shoe gazing 、Brit pop、Dream-pop、Indie Rock 、Indie Electronic 、Alternative Rock 、Indie pop 、Synth pop、Lo-Fi、Glam Rock、Post Punk<br><br>封面图来自摄影师Louis Hvejsel Bork | 夜色迷离<br>",311920,10256,216,201,"[""夜晚"",""另类/独立"",""英伦""]",8237,9,51,7,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",435,"是","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否",252,5,"否","否","否","是","否","否","否",12.6505020236565,1
"4","：GOD'S DEATH 888【T% RAP】","YOUNG-RICH-WORLD-PEACE",1421798400,"<b>介绍：</b>此歌单非常的躁动与迷幻 备 ：Rap Music 和 Trap Music 将会带你进入一个不一样的音乐世界<br>",250759,3815,65,60,"[""欧美"",""流行"",""说唱""]",277,9,8,24,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",68,"是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",773,23,"否","否","否","是","否","否","否",12.4322475975031,1
"5","??节奏狂??","-Fat1me",1484006400,"<b>介绍：</b>节奏感十足 *<br>",53208,350,11,9,"[""欧美"",""雷鬼""]",1595,8,25,7,"否","否","是","否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否","否","否",21,"否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",123,6,"否","否","否","是","否","否","否",10.8819640399643,1
"6","·?摇摆摇摆回响(dub)雷鬼(reggae)斯卡(ska","兔叔与六鞭尸",1412208000,"<b>介绍：</b>(Reggae)Swing swing swing,wolalalalala.....<br>",51713,1011,20,10,"[""雷鬼"",""世界音乐"",""拉丁""]",4350,9,118,29,"是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",57,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",24,0,"否","否","否","是","否","否","否",10.8534644795651,1
"7","·老司机永不翻车·","Miirzat",1433808000,"<b>介绍：</b>歌单每天都更新。<br>",284489,3429,48,23,"[""欧美"",""摇滚"",""驾车""]",711,9,27,9,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",22,"是","否","否","否","否","否","否","否","否","否","是","否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是",237,5,"否","否","否","是","否","否","否",12.5584498674777,1
"8","(≧?≦)你们还有二胡版？！","浜野澄瞳",1400976000,"<b>介绍：</b>各种熟悉的歌，用二胡演奏！体会不同的韵味！<br>",32288,800,25,34,"[""民族"",""器乐"",""轻音乐""]",1555,7,15,14,"否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",35,"否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","是","否","是","否","否","否","否","否","否","是","否","否","否",33,0,"是","否","否","否","是","否","否",10.3824509231533,1
"9","［ 温柔呢喃 ］ | 嚼了棉花糖一样甜软","呐呐呐酱",1455667200,"<b>介绍：</b>polly简直是温柔男友声音标配?(? ???ω??? ?)? 新宝藏qwq默默抱走<br><br>Clear的声线超级温柔QAQ就像棉花糖一样酥软软呢！<br><br>可爱的洋次郎君依旧是无法割舍的呢qwq<br><br>plenty的人间喵喵【无视我的抽风】超级好听！这首Good Bye更是满满的正太阳光气息?(? ???ω??? ?)?<br><br>当然了....！还有我的男神白熊sama(????)【四块钱暴风哭泣】<br><br>Disco的风格真的惊艳！?就像穿着一条单薄的裙子在夜里大街上自嗨<br><br>嘛，希望小可爱们会喜欢qwq总之呐酱喜欢的不得了呢(&gt;ω?*?)?<br><br>封面：巴卫男神?(? ???ω??? ?)?<br>",196583,5769,33,58,"[""日语"",""治愈"",""清新""]",1003,9,55,20,"否","否","否","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",344,"否","否","否","是","是","否","否","是","否","否","否","否","否","否","是","否","否","否","否","否","否","是","否","否","否","否","是","否","否","否","否","否","否","否","否","否",32,0,"否","否","否","是","否","否","否",12.1888400129666,1
"10","[2007-2017] 一首歌听完整年欧美热单","Sebastiao",1435190400,"<b>介绍：</b>用全新的方式打开无数首全球爆红的歌，没错，一首歌mash up了一年的精彩旋律哦。排序从新到旧<br>",196907,4607,83,38,"[""小语种"",""电子"",""欧美""]",10389,10,123,23,"否","否","否","否","否","是","否","是","否","否","否","否","否","否","否","否","是","否","否","否","否","否","否",61,"否","否","否","否","否","否","否","否","否","否","否","是","否","否","否","否","是","否","否","是","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否","否",80,1,"是","否","否","否","是","否","否",12.1904868150364,1
